Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
2505,779328.206,5997.309,99.845,6.912,0.329,0,0
2513,722646.195,5632.75,74.99,2.419,0.123,0,0
2518,761444.392,5851.735,66.3,1.673,0.087,0,0
2525,766040.207,5538.126,63.292,2.087,0.102,0,0
2535,770103.232,5605.19,66.374,3.689,0.231,0,0
2545,766939.404,5494.827,69.044,4.069,0.244,0,0
2555,761011.5,5757.671,83.658,7.018,0.61,0.001,0
2565,757248.168,5714.496,80.12,5.331,0.415,0,0
2575,752019.642,6043.595,91.772,6.809,0.596,0,0
2585,748089.815,6034.948,93.506,6.162,0.513,0,0
2595,733103.334,6089.319,90.875,5.477,0.454,0,0
2605,739231.139,5871.082,85.748,4.738,0.377,0.001,0
2615,729273.423,5880.6,79.823,4.13,0.335,0.001,0
2625,730905.354,5969.936,99.839,6.152,0.493,0.001,0
2635,727708.289,6036.316,104.2,9.882,1.038,0.001,0
2645,721014.308,6324.417,126.704,13.695,1.438,0.001,0
2655,718849.579,6285.224,132.28,17.114,2.195,0.001,0
2665,713687.604,6041.292,110.482,11.658,1.261,0.001,0
2675,702564.255,6251.007,122.764,13.696,1.498,0.001,0
2685,703663.268,6184.192,123.831,15.109,1.834,0.001,0
2695,698301.468,6107.113,112.401,11.879,1.226,0.001,0
2705,699333.902,6191.782,120.795,14.096,1.583,0.002,0
2715,693472.523,6025.74,109.563,10.809,1.075,0.002,0
2725,689342.945,6054.419,112.518,10.101,0.722,0.001,0
2735,661634.771,6290.823,125,12.058,1.053,0.002,0
2745,683181.847,5837.301,91.535,6.148,0.552,0.002,0
2755,677953.262,5827.658,99.71,8.438,0.835,0.002,0
2765,674356.495,5998.989,107.377,10.944,1.166,0.003,0
2775,670226.977,6176.976,117.473,11.996,1.205,0.003,0
2785,663299.823,6215.733,93.417,6.857,0.652,0.002,0
2795,657405.131,5556.354,43.824,2.636,0.275,0.003,0
2805,657838.114,5883.96,54.4,3.367,0.346,0.003,0
2815,654707.627,6295.178,117.232,11.022,1.072,0.003,0
2825,649778.72,6260.339,138.454,16.909,1.696,0.004,0
2835,647680.678,6051.557,135.933,16.874,1.55,0.003,0
2845,645316.122,5936.466,130.861,14.253,0.885,0.003,0
2855,641353.042,6036.502,122.019,8.348,0.431,0.002,0
2865,634792.311,6194.084,143.491,18.874,1.442,0.004,0
2875,631395.417,6110.534,142.193,21.574,2.442,0.004,0
2885,629896.715,6177.847,143.784,19.205,2.092,0.006,0
2895,626100.195,6169.822,138.106,21.015,2.833,0.007,0
2910,620838.258,6348.679,161.844,26.756,3.888,0.009,0
2930,615376.565,6261.584,154.608,24.171,3.374,0.009,0
2950,608316.289,6240.432,154.856,23.888,3.141,0.009,0
2970,599990.454,6255.984,161.781,26.164,3.304,0.009,0
2990,591364.906,6257.228,166.986,26.799,3.434,0.01,0
3010,585503.615,6353.657,172.51,28.925,3.455,0.011,0
3030,576411.778,6355.522,172.203,29.037,3.8,0.013,0
3050,572881.657,6313.219,174.963,30.655,4.033,0.015,0
3070,565521.647,6283.98,178.814,31.447,4.43,0.017,0
3090,562590.972,6325.038,183.753,32.121,4.209,0.017,0
3110,557162.586,6255.985,180.541,33.076,4.977,0.027,0
3130,550501.926,6255.362,182.271,33.169,4.707,0.026,0
3150,546438.917,6259.717,187.806,32.371,4.535,0.039,0
3170,540244.512,6234.21,187.536,34.119,5.022,0.058,0
3190,535282.374,6115.76,177.549,31.194,4.459,0.043,0
3210,519429.996,6197.194,188.516,35.161,5.061,0.051,0
3230,525124.829,6195.639,181.113,30.753,4.22,0.05,0
3250,520262.616,6178.656,190.859,37.428,6.062,0.092,0
3270,510138.481,6192.84,198.969,42.061,7.211,0.129,0
3290,508506.552,6183.881,201.307,41.269,6.972,0.16,0
3310,503178.065,6195.204,207.722,42.543,6.7,0.126,0
3330,498049.373,6168.764,205.601,42.909,6.975,0.142,0
3350,490223.151,6131.189,205.646,43.052,6.873,0.135,0
3370,487658.715,6123.225,205.505,38.396,5.172,0.078,0
3390,482963.017,6102.633,207.511,41.988,6.07,0.1,0
3410,477967.496,6109.911,209.916,42.357,6.196,0.109,0
3430,475103.463,6083.161,212.674,43.101,6.517,0.127,0
3450,467676.805,6073.083,214.169,45.348,7.025,0.122,0
3470,465578.761,6046.892,214.208,46.288,7.444,0.12,0
3490,461582.313,6043.407,216.935,48.731,8.344,0.174,0
3510,458085.536,6053.113,223.15,50.585,8.832,0.247,0
3530,452790.308,6045.274,223.085,48.779,8.134,0.227,0
3550,448760.619,6031.961,231.169,54.939,9.532,0.326,0
